id,reading_levels,primary_student_language,primary_household_language,after_school,after_school_external
91479296,,spanish,english,f,
8955795,Not_Meeting,spanish,english,f,
20741694,Meeting,english,english,f,
28306242,Not_Meeting,spanish,english,f,
64017217,Partially_Meeting,english,english,f,
524840767,,english,english,f,
189368871,,english,english,f,
77543257,,english,english,t,
55813008,,english,english,f,
28771309,,spanish,spanish,f,
46325644,Not_Meeting,english,english,f,
201192845,,,,f,Discovery
72226536,Exceeding,english,english,t,Discovery
39784246,,spanish,english,f,
238917787,,english,english,t,
16913932,Exceeding,spanish,english,f,
94938278,Not_Meeting,english,english,f,
96207115,,,english,f,
58845844,Not_Meeting,english,english,f,
48073880,Exceeding,spanish,english,f,
78608750,Meeting,spanish,english,f,
58990899,,english,english,f,
17021712,,english,english,f,
426978815,,english,english,t,
38683994,,english,spanish,f,
28377966,Partially_Meeting,english,english,f,
77291049,,spanish,english,f,
29227023,,english,spanish,f,
23806542,Not_Meeting,spanish,english,f,
887889359,,english,english,f,
51554350,,english,english,f,
8672989,Not_Meeting,english,spanish,f,
54914727,,english,english,f,
49111577,Exceeding,spanish,spanish,f,
1141761,Meeting,english,english,f,
57832337,,,english,f,
90885851,Not_Meeting,english,english,f,
683156452,,english,english,f,
88249523,Partially_Meeting,spanish,english,f,
12901689,,english,english,f,
409678893,,english,english,t,
70615332,Meeting,english,english,f,
57018631,Not_Meeting,english,english,t,Discovery
13163027,,english,spanish,f,
195619140,,english,english,f,
637017388,,english,spanish,f,Discovery
947578067,,spanish,english,f,
57336670,,english,spanish,f,YWCA
35131168,,english,english,f,
27302723,,english,spanish,f,
69328793,Exceeding,,spanish,f,
41991749,Meeting,spanish,english,t,Boys & Girls Club
882233411,,english,spanish,f,Discovery
28767526,Meeting,english,english,f,
24562490,Not_Meeting,english,english,f,
60900790,Meeting,spanish,english,f,
6439765,Partially_Meeting,spanish,spanish,f,
822933864,,,english,f,Discovery
37267214,Exceeding,spanish,english,f,
91964278,Exceeding,english,english,f,
447919511,,english,english,f,
46158908,,spanish,english,f,
59786752,,english,english,f,
91445070,Exceeding,english,english,f,
14195950,Meeting,english,english,f,
38842402,,english,english,f,
62860769,Not_Meeting,english,english,t,YMCA
78815976,Partially_Meeting,english,english,t,Boys & Girls Club
471624542,,english,english,t,
591752985,,spanish,english,f,
64186675,Exceeding,english,english,f,
92615355,,english,english,f,
97969124,Exceeding,,english,f,
80521203,,,english,f,
32502580,,spanish,english,f,
661632453,,spanish,english,f,
14119401,Not_Meeting,english,english,f,
843231516,,,english,t,
34841358,Meeting,english,english,f,
32803416,Meeting,english,english,t,Little Sprouts
24200200,Partially_Meeting,english,english,f,
31393229,Not_Meeting,spanish,spanish,f,
438083041,,english,english,t,Discovery
69558592,Meeting,spanish,english,f,
46334588,,english,english,f,
95577520,Partially_Meeting,spanish,english,t,Discovery
141970755,,spanish,english,f,
4630526,,english,english,f,
85748683,Exceeding,spanish,english,f,
60886894,Partially_Meeting,english,english,f,
11977259,Meeting,english,spanish,f,
49509289,Not_Meeting,english,english,f,
78864113,Not_Meeting,english,spanish,f,
7413957,Exceeding,,english,f,
7812179,,spanish,english,f,
67392041,Partially_Meeting,,english,f,
68245655,Not_Meeting,english,english,f,
13938056,,english,english,f,
670429853,,spanish,spanish,f,
843259939,,english,english,f,
874267971,,,english,f,
52937166,,english,english,f,
1254440,,,english,f,
48888207,Partially_Meeting,english,english,f,
63671532,,,english,f,
55739965,Not_Meeting,,english,f,
420037765,,,spanish,f,
55775225,,spanish,english,f,
132449459,,spanish,english,t,
60963639,Not_Meeting,spanish,english,t,YMCA
77644430,Partially_Meeting,spanish,english,f,
2959658,,english,english,f,
92145782,Not_Meeting,english,english,f,
467394588,,english,english,f,Youth Empowerment
76155937,,spanish,english,f,
17119377,Partially_Meeting,english,english,f,
62852635,Partially_Meeting,english,english,f,
53675313,,spanish,english,f,
3352842,,english,english,f,
97806858,Exceeding,spanish,english,f,
20011889,,spanish,english,f,
4722557,,english,english,f,
51215952,Exceeding,english,english,t,Discovery
88499512,Not_Meeting,spanish,english,f,
455113517,,english,english,f,Boys & Girls Club
64371458,Partially_Meeting,english,english,t,YMCA Pentucket Lake
26230723,,english,english,f,
41985402,Partially_Meeting,english,spanish,f,
27583167,Exceeding,spanish,english,f,
70180472,,english,english,f,
50369690,Meeting,english,english,f,
14254762,Not_Meeting,english,english,t,Discovery
18961050,Partially_Meeting,english,english,f,
448572549,,english,english,t,
2555079,,english,english,f,
80701634,Partially_Meeting,english,spanish,f,
84577799,,english,english,f,
54091598,,spanish,english,f,
29638008,Meeting,english,english,f,
1371877,Exceeding,english,spanish,f,
11415728,Not_Meeting,english,english,f,
91630632,,english,english,f,
15786975,Not_Meeting,english,english,f,
200561569,,english,spanish,f,Discovery
96253140,Meeting,,english,f,
5638458,Meeting,spanish,english,f,
48918613,,english,english,f,
79060660,Exceeding,,english,f,
33809499,,spanish,english,f,
315464065,,english,english,f,Discovery
46984326,Not_Meeting,english,english,f,
917599592,,english,english,f,
64941986,Exceeding,english,english,f,
4097548,Exceeding,spanish,english,f,
97216298,Exceeding,english,english,f,
447172998,,english,english,f,
830474937,,spanish,english,f,
6978496,,spanish,english,f,
74328685,,spanish,english,f,
253367888,,spanish,english,f,Discovery
68249903,Exceeding,,english,f,
24766503,Not_Meeting,english,english,f,
97929637,Partially_Meeting,english,english,f,
55570288,,spanish,english,f,
95174705,Not_Meeting,english,english,f,
11190823,Exceeding,english,english,t,YWCA
98150042,,,english,f,
28993301,Not_Meeting,english,english,f,
880560531,,,spanish,f,
63081982,Not_Meeting,english,english,f,
252829726,,english,english,f,
76866429,Partially_Meeting,english,english,f,
580692072,,english,english,f,
35583746,,english,english,f,
262853032,,english,english,f,
64525607,Not_Meeting,,english,f,
462623261,,english,spanish,t,
851851646,,english,spanish,f,
78848353,Not_Meeting,english,english,f,
58316435,Partially_Meeting,spanish,english,f,
3224655,,english,english,t,
64433165,,english,english,f,
5079873,,,english,f,
70175084,Exceeding,spanish,english,f,
70081761,Not_Meeting,english,english,f,
52617263,Meeting,,english,f,
49572936,Meeting,english,spanish,f,
24022910,Not_Meeting,english,english,t,YMCA
772951082,,spanish,english,f,
185163930,,spanish,english,f,Boys & Girls Club
14417740,,english,english,f,
89986726,Not_Meeting,english,english,f,
16552312,Partially_Meeting,spanish,spanish,f,
80562425,,,english,f,
31968211,,,english,f,
54102356,Partially_Meeting,,english,f,
48390953,Not_Meeting,spanish,english,f,
414794660,,english,english,t,
91190070,Meeting,spanish,english,f,
29748946,,english,english,f,
5658954,Meeting,spanish,spanish,f,
62964844,Partially_Meeting,spanish,english,f,
66266406,,english,english,f,
27242158,Not_Meeting,english,spanish,f,
92457572,Partially_Meeting,spanish,english,f,
24133430,Not_Meeting,english,english,f,
36656613,Meeting,english,english,f,
47416322,Not_Meeting,spanish,english,f,
46667184,Partially_Meeting,spanish,english,f,
8921784,Not_Meeting,english,english,f,
93298954,Meeting,spanish,english,f,
61510224,Not_Meeting,,english,t,Discovery
23387281,Not_Meeting,english,english,f,
55912230,Not_Meeting,english,english,f,
25214875,Not_Meeting,english,english,f,
66159340,Not_Meeting,english,english,f,
361630040,,spanish,english,f,
718359483,,english,english,f,
161373517,,english,english,t,
974438874,,english,english,f,
2676942,Partially_Meeting,english,english,t,Discovery
77613813,Exceeding,english,english,f,
10405861,Meeting,english,english,f,
5938574,,english,english,f,
19167756,Not_Meeting,english,english,f,
87703871,Exceeding,,english,f,
20581364,Meeting,english,english,f,
24347174,Partially_Meeting,,english,f,
36390243,Not_Meeting,english,english,f,
475107450,,english,english,f,
50661568,Meeting,spanish,english,f,
24659480,,english,english,f,
277592084,,english,english,f,
12346951,,english,english,t,
19923415,Exceeding,english,english,f,
47044001,Partially_Meeting,,english,f,
77246419,Not_Meeting,spanish,english,f,
872900600,,english,english,t,
39038850,Meeting,english,english,f,
12675289,Meeting,english,english,f,
72550516,Meeting,,english,f,
97434965,Partially_Meeting,spanish,english,f,
5989408,Not_Meeting,english,english,f,
63565416,Partially_Meeting,english,english,t,Discovery
38296229,Exceeding,english,english,f,
84714799,,english,english,f,
25204614,Meeting,spanish,english,f,
94924887,Not_Meeting,english,spanish,f,
784091924,,english,english,f,
68402704,Not_Meeting,english,english,t,Discovery
384355612,,english,english,f,
55658259,,spanish,english,f,
66783365,,spanish,english,f,
60074121,,english,english,f,
6720120,,english,english,f,
262418432,,english,english,f,
881138933,,spanish,english,t,
902742527,,spanish,english,f,
55601737,Not_Meeting,english,english,f,
18970744,Exceeding,spanish,english,f,
78106547,Not_Meeting,english,english,f,
56107154,Not_Meeting,spanish,english,f,
6681396,Not_Meeting,english,english,f,
571996594,,,english,f,
267570616,,english,spanish,f,
603888437,,english,english,t,
78491011,,english,english,f,
37122981,Not_Meeting,english,english,f,
566466022,,english,english,f,Discovery
83643261,Not_Meeting,,spanish,f,
63297223,Not_Meeting,english,english,f,
551407544,,,english,f,Discovery
40859214,Exceeding,spanish,spanish,f,
14754832,Exceeding,english,english,f,
27201687,Meeting,english,english,f,
94802500,,spanish,english,f,
58228068,Not_Meeting,,english,f,
69788055,Partially_Meeting,english,english,f,
30275064,Partially_Meeting,english,english,f,
63482205,,english,english,f,
34140910,Meeting,english,english,f,
695281543,,english,spanish,t,
34767790,Meeting,english,spanish,f,
96309210,Not_Meeting,spanish,english,f,
568584233,,,spanish,t,Discovery
743585095,,english,english,f,Discovery
42177618,Partially_Meeting,english,english,t,Discovery
62324631,Exceeding,english,english,f,
13507657,,english,english,f,
94071175,Meeting,english,english,f,
11685061,,english,english,f,
39067649,Not_Meeting,english,spanish,f,
86791780,Not_Meeting,spanish,english,f,
35542294,Partially_Meeting,english,english,f,
33191091,,english,spanish,f,
93282654,,,english,f,
44413597,Partially_Meeting,english,english,f,
96103042,Partially_Meeting,spanish,english,f,
8251134,,english,english,f,
1401591,,,english,f,
30534289,Meeting,spanish,english,f,
21213930,Partially_Meeting,english,english,f,
44081132,Not_Meeting,english,english,f,
10557549,,english,english,f,
53154362,,english,english,f,
43786106,,english,spanish,f,Discovery
27893253,Partially_Meeting,english,english,f,
48334761,Partially_Meeting,english,english,f,
16920507,Meeting,english,english,f,
842033385,,english,spanish,f,
560257104,,spanish,english,f,Discovery
463483798,,english,english,f,
100054818,,,english,f,
14236757,Meeting,spanish,english,f,
30151025,Not_Meeting,english,english,f,
12466119,Not_Meeting,english,english,f,
34550812,Partially_Meeting,english,english,f,
52733247,,spanish,english,f,
56045640,Partially_Meeting,english,english,t,Youth Empowerment
993958323,,english,spanish,f,
43940650,Not_Meeting,english,english,f,
4971581,,english,english,f,
97590001,Partially_Meeting,english,english,f,
39909647,Not_Meeting,english,english,f,
40283814,Meeting,english,spanish,f,
86439222,Exceeding,english,english,f,
25364718,Partially_Meeting,english,english,f,
25192891,Partially_Meeting,,english,f,
22005740,Partially_Meeting,,english,f,
34804813,Not_Meeting,,english,f,
73318950,Not_Meeting,spanish,english,f,
67356489,,english,english,f,
50029156,Partially_Meeting,,english,f,
61685484,,english,english,f,
35941449,Meeting,english,english,f,
34139638,,english,english,f,
32875602,Exceeding,english,english,f,
63611656,Exceeding,spanish,english,f,
333945912,,english,english,f,
19941188,Partially_Meeting,,english,f,
440974935,,english,english,t,
73231847,,english,english,f,
32006838,Not_Meeting,spanish,english,f,
64847706,,english,spanish,f,
88670499,Partially_Meeting,english,english,f,
104230556,,spanish,english,f,
428124946,,english,english,f,
17917747,Partially_Meeting,,spanish,f,
567762274,,english,english,f,
560223225,,english,spanish,f,
85216042,Meeting,spanish,english,f,
28370888,Exceeding,english,english,f,
61010454,,english,english,f,
57759792,Partially_Meeting,english,english,f,
755704593,,english,english,f,Boys & Girls Club
862183281,,english,spanish,f,
92532176,Not_Meeting,english,english,f,
75846909,Not_Meeting,spanish,english,f,
122067069,,spanish,english,f,
49228765,Partially_Meeting,english,english,f,
38799163,,,english,f,
59322633,,english,english,f,
43327000,,english,spanish,f,
29534384,Meeting,english,english,f,
86118032,Exceeding,english,english,f,
30616782,Partially_Meeting,english,english,f,
70956161,Exceeding,english,spanish,t,Little Sprouts
388795106,,,spanish,f,YMCA Greenleaf
324449468,,english,english,f,
55630685,Exceeding,english,english,f,
69332444,Partially_Meeting,english,spanish,f,
57537146,Meeting,spanish,english,f,
56538721,Meeting,english,english,t,Youth Empowerment
804715511,,english,english,t,
780494543,,english,english,f,Discovery
96379597,Meeting,english,english,f,
32489535,,english,english,f,
2613994,Not_Meeting,english,english,t,Boys & Girls Club
81540766,Not_Meeting,english,english,f,
50350156,Not_Meeting,english,english,f,
81086016,,english,english,f,
91575955,,,english,f,
66306174,Not_Meeting,,english,t,Youth Empowerment
49789626,Meeting,,english,f,
33685750,Not_Meeting,english,english,f,
76711202,Exceeding,english,english,f,
37275313,Meeting,english,english,f,
830800893,,spanish,spanish,f,YMCA
784075040,,english,english,f,
15371655,Partially_Meeting,spanish,english,f,
28985647,,spanish,english,f,
662924098,,spanish,english,f,
16213432,,english,english,f,
59461567,,english,spanish,f,
50095769,,english,english,f,
26199520,Exceeding,english,english,f,
540636312,,,english,f,
947255072,,english,english,f,
43307408,Exceeding,spanish,english,f,
12027210,Meeting,english,english,t,YMCA
244183,Meeting,english,english,f,
683025735,,english,english,f,
24885188,Not_Meeting,spanish,spanish,f,
98109134,,english,spanish,f,
72489527,Partially_Meeting,english,spanish,f,
35011578,,english,english,f,
50901145,Not_Meeting,english,english,t,Discovery
868239024,,english,english,f,
471637549,,spanish,english,f,
44382119,Not_Meeting,spanish,english,f,
92077860,Not_Meeting,english,english,f,
740525661,,english,,f,
56459671,,english,spanish,f,
6920308,Not_Meeting,english,english,f,
60676015,Exceeding,spanish,english,f,
19689583,,english,english,f,
508674039,,english,english,f,
34857752,Not_Meeting,english,english,f,
50613568,Meeting,english,english,f,
11087244,,english,english,f,
283983893,,english,english,f,Discovery
904391816,,,english,f,
98914183,Meeting,spanish,english,f,
60715243,,,spanish,f,
70734042,,english,english,f,
